objectID,title,artist,medium,department,culture,period,classification,imageURL
432627,A Merry Christmas,Anonymous,Commercial color process with embossment,Drawings and Prints,NA,NA,Prints,NA
194496,Charger,Adam Churcher,Pewter,European Sculpture and Decorative Arts,NA,NA,Metalwork-Pewter,https://images.metmuseum.org/CRDImages/es/original/DP-13947-127.jpg
393531,The Long Journey,Frank W. Benson,Etching,Drawings and Prints,NA,NA,Prints,NA
160881,Dress,Alexander McQueen,"shell, cotton, metal",Costume Institute,British,NA,NA,NA
240701,Cup,NA,Terracotta,Greek and Roman Art,Cypriot,Bronze Age,Vases,https://images.metmuseum.org/CRDImages/gr/original/LC-74_51_1114.jpg
755266,"Curtain!!!, from 'News of the day,' published in 'The war album'",Honoré Daumier,Lithograph on wove paper; third state of three (Delteil),Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP877506.jpg
450544,Tile Fragment,NA,Stonepaste; glazed,Islamic Art,NA,NA,Ceramics-Tiles,https://images.metmuseum.org/CRDImages/is/original/sf45-103-6.jpg
310122,Painting from a Ceremonial House Ceiling,"Mburrnggei, Amachi-Kalaba","Sago palm spathe, paint",The Michael C. Rockefeller Wing,"Kwoma, Amachi-Kalaba clan",NA,Bark-Paintings,NA
706649,Mlle de Laperrine,André-Adolphe-Eugène Disdéri,Albumen silver print from glass negative,Photographs,NA,NA,Photographs,NA
378124,"Design for Landau, No. 3002",Brewster & Co.,"Pen and black ink, watercolor and gouache with gum arabic and metallic ink",Drawings and Prints,NA,NA,Drawings,https://images.metmuseum.org/CRDImages/dp/original/DP881636.jpg
344100,Emblemata,Andrea Alciato,Woodcut,Drawings and Prints,NA,NA,Books,NA
504462,Frame Drum,NA,"Wood, hide, tacks",Musical Instruments,Native American (Northwest Coast),NA,Membranophone-single-headed / frame drum,NA
213116,Piece,NA,Silk and metal thread,European Sculpture and Decorative Arts,NA,NA,Textiles-Woven,https://images.metmuseum.org/CRDImages/es/original/1005.jpg
719839,Textile Design with Scattered Small Stylized Flowers over a Light Blue Background,Robert Bryer,Gouache over graphite,Drawings and Prints,NA,NA,Drawings,NA
423004,Kyrgyz men on horseback,Aleksandr Orlovsky,Lithograph,Drawings and Prints,NA,NA,Prints,NA
4873,Looking Glass,Stephen Badlam,"Mahogany, gilt",The American Wing,American,NA,NA,https://images.metmuseum.org/CRDImages/ad/original/DT8157.jpg
699463,Plate A: Election and Coronation of Emperor Maximilian II,"Anonymous, German, 17th century",Etching,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP855315.jpg
718390,Group of Peasants Worshipping an Image of Isis on a Donkey,Johann Sadeler I,Engraving,Drawings and Prints,NA,NA,Prints,NA
683943,Neu künstlich Modelbuch (page 13r),Bernhard Jobin,Woodcut,Drawings and Prints,NA,NA,Books,https://images.metmuseum.org/CRDImages/dp/original/DP364187.jpg
36936,"Yoshiwara, Hidari Fuji",Utagawa Hiroshige,Woodblock print; ink and color on paper,Asian Art,Japan,Edo period (1615–1868),Prints,https://images.metmuseum.org/CRDImages/as/original/DP122188.jpg
725744,Nach Versailles,Jean-Louis Forain,Collotype,Drawings and Prints,NA,NA,Prints,NA
474675,Papyrus Fragment,NA,Papyrus and ink,Medieval Art,Coptic,NA,Papyrus,https://images.metmuseum.org/CRDImages/md/original/sf12-180-298s1.jpg
384965,La Jeunesse indifférente,Nicolas Dupin,Engraving,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP817093.jpg
324082,Vessel,NA,Bronze (speculum),Ancient Near Eastern Art,Sasanian,Sasanian,NA,https://images.metmuseum.org/CRDImages/an/original/ME49_112_2.jpg
560962,Weight,NA,Travertine (Egyptian alabaster),Egyptian Art,NA,Middle Kingdom,NA,NA
210724,Portable hook,NA,Silver,European Sculpture and Decorative Arts,NA,NA,Metalwork-Silver,https://images.metmuseum.org/CRDImages/es/original/SF1973_176_1-48_img3.jpg
708065,A Bookplate for Katherine Cameron,Sir David Young Cameron,Etching; only state,Drawings and Prints,NA,NA,Prints,NA
346292,A Series of Subjects from the Works of the Late R. P. Bonington,Richard Parkes Bonington,Illustrations: lithographs,Drawings and Prints,NA,NA,Books,NA
901,Box with Medallion Top,NA,"Wood, tortoiseshell, gilt metal, engraving glass",The American Wing,NA,NA,NA,https://images.metmuseum.org/CRDImages/ad/original/25589.jpg
38148,Celestial Beauty (Surasundari),NA,Marble,Asian Art,India (southern Rajasthan),NA,Sculpture,https://images.metmuseum.org/CRDImages/as/original/69_247.jpg
694919,[Unidentified Woman],Unknown,Albumen silver print from glass negative,Photographs,NA,NA,Photographs,NA
58481,Case (Inrō) with Design of Frogs,NA,Case: powdered gold (maki-e) and colored lacquer on black lacquer; Fastener (ojime): stone; Toggle (netsuke): wood carved in the shape of a mermaid,Asian Art,Japan,Edo period (1615–1868),Inrō,https://images.metmuseum.org/CRDImages/as/original/DP251893.jpg
549636,Lips from a statue of king or queen,NA,Indurated limestone,Egyptian Art,NA,"New Kingdom, Amarna Period",NA,https://images.metmuseum.org/CRDImages/eg/original/LC-57_180_84.jpg
668500,Terracotta fragment of a kylix (drinking cup),NA,Terracotta,Greek and Roman Art,"Greek, Attic",Classical,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB00202_2_ff.jpg
444861,Coin with Sign of Cancer,NA,Silver,Islamic Art,NA,NA,Coins,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_2397.jpg
103389,Dress,NA,silk,Costume Institute,American,NA,NA,https://images.metmuseum.org/CRDImages/ci/original/CI59.13.2a–d_F.jpg
247162,Coin,NA,Silver,Greek and Roman Art,Greek,NA,Coins,NA
31939,Arm Guard,NA,"Steel, iron, brass",Arms and Armor,Indian,NA,Armor Parts,NA
764479,Terracotta rim fragment of a stemless kylix (drinking cup)?,NA,Terracotta,Greek and Roman Art,"Greek, Attic",Classical,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB14869_1_ff.jpg
709058,Portrait of a Young Man,Pierre Narcisse Guérin,"Black chalk, stumping, heightened with white chalk",Drawings and Prints,NA,NA,Drawings,https://images.metmuseum.org/CRDImages/dp/original/DP861170.jpg
97345,Rain ensemble,Yves Saint Laurent,"plastic (polyvinyl chloride), wool",Costume Institute,French,NA,NA,NA
245122,Sard ring stone,NA,Sard,Greek and Roman Art,Post-Classical,NA,Gems,NA
120700,Fan,NA,"ivory, silk",Costume Institute,American,NA,NA,NA
346570,"Boydell's Illustrations of  the Holy Writ, Pt. I",Isaac Taylor I,Illustrations: etching and engraving,Drawings and Prints,NA,NA,Books,NA
722009,"Turkish, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,Commercial color lithograph,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DPB875113.jpg
33083,Mordant,NA,Brass,Arms and Armor,possibly German,NA,Miscellaneous-Buckles & Ornament,https://images.metmuseum.org/CRDImages/aa/original/LC-20_152_106-001.jpg
689395,Terracotta fragment of a kylix (drinking cup),NA,Terracotta,Greek and Roman Art,"Greek, Attic",Archaic,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB02813_1_ff.jpg
240562,Terracotta bowl,NA,Terracotta,Greek and Roman Art,Cypriot,Middle Cypriot II,Vases,https://images.metmuseum.org/CRDImages/gr/original/DP-36451-001.jpg
43630,Hatchet,NA,Jadeite,Asian Art,Guatemala,Pre-Columbian period,Jade,https://images.metmuseum.org/CRDImages/as/original/02_18_222 Hatchet.JPG
778911,"Boston Red Sox Coaches: Del Baker, Billy Herman, Sal Maglie, and Rudy York, from the ""1960 Topps Regular Issue"" series (R414-19), issued by Topps Chewing Gum Company.",Topps Chewing Gum Company,Commercial color lithograph,Drawings and Prints,NA,NA,Prints,NA
38616,Head of a Deity,NA,Terracotta,Asian Art,Sri Lanka,Anuradhapura period,Sculpture,https://images.metmuseum.org/CRDImages/as/original/1993_524_2.jpg
407168,Candelabra Grotesque with a Naked Boy in a Strapwork Contraption,"Anonymous, Italian, 16th century","Pen and black ink, brush and gray wash",Drawings and Prints,NA,NA,Drawings,https://images.metmuseum.org/CRDImages/dp/original/DP804953.jpg
365601,Safrano Rose,Louis Prang & Co.,Color lithograph,Drawings and Prints,NA,NA,Prints,NA
451936,"Chess Piece, Rook",NA,Ivory,Islamic Art,NA,NA,Gaming pieces,https://images.metmuseum.org/CRDImages/is/original/67.151.2(4).JPG
549465,Menat Fragment,NA,Blue faience,Egyptian Art,NA,New Kingdom,NA,https://images.metmuseum.org/CRDImages/eg/original/05.4.95_EGDP010584.jpg
564477,Jar Label,NA,"Pottery and ink, paint",Egyptian Art,NA,New Kingdom,NA,NA
387641,Design for a Bedroom,Charles Percier,"Pen and ink, brush and wash and watercolor and laid paper",Drawings and Prints,NA,NA,Drawings,https://images.metmuseum.org/CRDImages/dp/original/DP812027.jpg
66109,Piece,NA,Silk,Asian Art,Japan,Edo (1615–1868),Textiles-Woven,https://images.metmuseum.org/CRDImages/as/original/DP11853.jpg
84590,Slippers,NA,"silk, leather",Costume Institute,European,NA,NA,https://images.metmuseum.org/CRDImages/ci/original/CI46.82.6ab_F.jpg
222152,Fragment,NA,Silk,European Sculpture and Decorative Arts,NA,NA,Textiles-Velvets,https://images.metmuseum.org/CRDImages/es/original/70514a.jpg
