,objectID,title,artist,medium,department,culture,period,classification,imageURL,label
49,31749,1660,524,997,23,165,328,281,4645,26
50,66913,3380,524,915,23,165,328,281,4329,26
51,31748,3379,524,1752,23,165,672,324,3699,15
52,13107,3540,524,231,18,165,324,349,3877,3
53,193867,4207,524,231,18,165,321,349,5880,3
54,118601,4700,524,231,18,165,316,349,3916,3
55,87045,3700,524,1392,18,165,320,321,6022,1
56,66910,3644,524,990,23,165,322,281,5324,26
57,151435,2689,524,267,23,165,1155,289,4555,15
58,150816,2307,524,1482,23,165,320,324,5981,15
59,87624,1725,524,1751,23,165,315,324,3574,15
60,28833,465,524,1476,23,165,315,324,4892,15
61,180675,3411,524,1750,23,165,1151,254,5021,0
62,80636,4022,600,603,23,49,288,262,3850,1
63,66908,3643,524,320,23,165,302,230,3082,26
64,64916,4125,524,231,18,165,304,349,6732,3
65,59716,1380,600,624,23,49,241,262,6550,1
66,31768,2688,524,996,23,165,311,281,6439,26
67,185201,4144,600,429,23,49,240,236,2594,15
68,79477,3995,600,623,23,49,239,262,4705,1
69,79386,3996,939,1259,23,165,239,304,3810,1
70,12245,4059,600,622,23,49,239,262,6095,1
71,210855,3136,600,605,23,49,290,262,2974,1
72,129769,1198,708,1468,23,467,1090,324,5790,15
73,118021,400,679,1342,23,151,163,309,3925,1
74,27703,4144,594,606,23,165,124,336,4431,15
75,214351,4124,1169,1881,23,165,278,262,4310,1
76,214350,4124,1169,1360,23,165,278,336,3094,15
77,214349,4124,1169,1361,23,165,278,336,2914,15
78,124736,4753,326,377,23,151,465,347,5961,1
79,124726,2002,326,369,23,151,465,304,3131,1
80,124730,32,326,369,23,151,465,304,3513,1
81,124723,38,326,369,23,151,465,304,6352,1
82,124722,2440,326,369,23,151,465,304,2779,1
83,124721,2337,326,1774,23,151,465,347,6025,1
84,124718,1921,326,1773,23,151,465,347,6003,1
85,124704,1941,326,369,23,151,465,304,3037,1
86,124694,1357,326,1773,23,151,465,347,4632,1
87,124715,4685,326,377,23,151,465,347,4077,1
88,124708,3167,326,377,23,151,465,347,6764,1
89,124700,3815,326,369,23,151,465,304,2882,1
90,124699,3271,326,1775,23,151,465,347,3509,1
91,50756,3517,605,805,23,492,288,281,6740,26
92,14493,597,605,1474,23,492,289,324,3825,15
93,14313,803,605,2161,23,492,287,391,3085,1
94,147853,3748,605,896,23,492,283,281,5753,26
