objectID,title,artist,medium,department,culture,period,classification,imageURL
209378,"Untitled (S.G. Edmonds M.P.S., Pharmicist & Chemist, 10 Longmoor Lane, Aintree)",Unknown Maker,Gelatin silver print,Photography and Media,Liverpool,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/cce35b0a-77e8-7955-1261-b3855cea1420/full/843,/0/default.jpg"
97859,"Joseph Ricker House, Chicago, Illinois, Basement and First Floor Plan",Cable & Spitz Architects,Ink and pencil on linen,Architecture and Design,United States,c. 1925,architectural drawing,"https://www.artic.edu/iiif/2/68006274-fa9b-e380-e5fa-8f9c22f9ed65/full/843,/0/default.jpg"
248742,"Memorial Design Study with Building, Perspective",Franz Lipp,"Graphite, rust colored grease pencil, and gouache on tracing paper",Architecture and Design,United States,N.d.,architectural drawing,"https://www.artic.edu/iiif/2/63bd32fe-de96-4527-e078-e33b84fc8a89/full/843,/0/default.jpg"
248732,"Brunswick Balke Collender Company Factory Building, Chicago, Illinois, Stone Specifications","Adler & Sullivan, Architects",Black and red ink on linen with pencil notes,Architecture and Design,United States,"1891

Destroyed by fire on April 15, 1989",architectural drawing,"https://www.artic.edu/iiif/2/15f1d904-def2-6ce3-b7c7-9a43a4737d85/full/843,/0/default.jpg"
209467,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/63592fe1-26e5-0b47-1f69-d08935549693/full/843,/0/default.jpg"
209083,"Untitled (Stamped Finished By Eagle Picture Co., P.O. Box 868 San Antonio, Texas, Quality and Promptness)",Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/65c4b046-902f-f101-1ba3-c7c3cfffbcf2/full/843,/0/default.jpg"
102256,"Richard M. Loewenstein house, Highland Park, Illinois, Floor Plan",Paul Schweikher,Graphite on tracing paper,Architecture and Design,"Ridge Road, 722",1936,architectural drawing,"https://www.artic.edu/iiif/2/fcfdfd33-99e5-871f-d5df-b58c09b0984c/full/843,/0/default.jpg"
241471,"Seven Veils of Architecture Townhouse Competition, Cross Section",Stephen Wierzbowski,Graphite on tracing paper,Architecture and Design,United States,1980,architectural drawing,"https://www.artic.edu/iiif/2/0d813972-7175-4c15-1b6c-cc3f34e9e9ba/full/843,/0/default.jpg"
209210,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1940/49,photograph,"https://www.artic.edu/iiif/2/d3a1896b-dc53-f57b-9538-de9c721ecdd4/full/843,/0/default.jpg"
147492,"Lake Shore Drive, Chicago, Illinois, Travel Sketch",Juan Navarro Baldeweg,Colored ink on watercolor board,Architecture and Design,Chicago,1996,travel sketch,"https://www.artic.edu/iiif/2/1dd9ffef-78d8-64f6-10b0-b73c577f8535/full/843,/0/default.jpg"
